title,tools,what,why,url,cost,audience
WhoLoDancE,Educational Materials:Educational Materials,"Wholodance aims at developing and applying breakthrough technologies to Dance Learning in order to achieve results that will have relevant impacts on numerous targets including, but not limited to, the dance practitioners ranging from Researchers and Professionals to Dance Students and the Interested Public.",,http://www.wholodance.eu/,medium,students
Exomars,Video:Video Sharing,Space mission for robotic exploration of Mars by ESA.,,http://exploration.esa.int/mars/,medium,generalpublic
CERN LHC Experiments,"Video:Video Sharing, Repositories:Code Repositories, Repositories:Data Repositories",CERN has released the data from its LHC experiments and built a number of tools to explore the data both for researchers and students,,https://home.cern/topics/large-hadron-collider,medium,"generalpublic, researcher"
101 Innovations in scholarly communication,Social Media:Twitter,"Dissemination activities range from the distribution of the tools database in Google Spreadsheets, the global survey (i.e., was  open from May 10, 2015 until February 10, 2016), interactive visualizations of survey results, collaboration with 108 partners (using their communication channels and mailing lists) to public blogs, social media, talks, webcasts and podcasts. One of the most interesting outputs is a snapshot of 101 tools visualized in a circle aligned to six research-lifecycle phases. To the dissemination outputs count also datasets and scripts, as well as open peer reviewed scientific article and poster.","101 Innovations in scholarly communication is a project that aims to analyse in detail research life-cycle phases and innovative tools that are used by researchers in each of the phases.  Specifically, the purpose of the project was to investigate to what extent researchers are using the innovative communication tools compared to traditional ones and what impact these tools have on the research workflow.",https://www.openuphub.eu/component/k2/item/610-101-innovations-in-scholarly-communications,medium,"researcher, generalpublic"
Galaxy Zoo,Games:Games,"The Galaxy Zoo website is the primary source of dissemination of the project activities. It includes a blog and a forum that support the volunteers in the discussion, analysis and classification of galaxies. Other dissemination activities are videos available on You Tube, releases and news articles in important journals and TV (Times Online, USA today, Spiegel online, BBC news, etc.). The main dissemination contents are images, video, text and data. The dissemination project outputs are both galaxy images associated with the Sloan Digital Sky Survey (SDSS), available on the ad hoc developed Galaxy Zoo website, and the results presented in scientific articles and open-source sets of the analysed data.","Galaxy Zoo is a well-known online citizen science project (Sauermann and Franzoni 2014), where the general public is directly involved in research activities. It is now available on the platform Zooniverse.org that is currently the largest aggregator of crowd science projects in various disciplines. Galaxy Zoo is a project which invites people to assist in the morphological classification of large numbers of galaxies through a website. Citizens classifying galaxies help scientists to understand how galaxies evolved over time and test theories about the nature of the Universe. The purpose of dissemination is twofold: sharing research data in the format of galaxy images and involving citizens in the analysis of these scientific data. ",https://www.openuphub.eu/component/k2/item/602-galaxy-zoo,medium,"citizenscience, generalpublic, teachers, students"
Foldit!,Games:Games,Citizen science project that uses a game for research and dissemination,,https://fold.it/portal/,high,"citizenscience, generalpublic"
The Big Bell Test,Games:Games,The BIG Bell Test (BBT) is a worldwide project to bring human unpredictability (randomness) to cutting-edge physics experiments.,,test,high,"citizenscience, generalpublic"
ScienceAtHome,Games:Games,"ScienceAtHome project uses various methods to communicate its objectives to wider audiences and to engage citizens. Its main focal point is set on the use of social media. It has a very active presence on Twitter, Facebook, YouTube and LinkedIn, where it disseminates project updates and news from the science community. Especially the YouTube channel is used to upload videos series about citizen science, quantum physics and game demos and animated videos explaining the concept,. In addition, an important aspect of the ScienceAtHome dissemination activities is the use of gaming elements which lead to the users’ engagement (e.g. leaderboard, scoreboard). Another useful tool that the project uses is the Blog. Weekly posts are written by a team of people that is specialised in online community engagement or the official account of ScienceAtHome. Moreover, the project has two Wikipedia references, which also increases its visibility to the general public. The first reference is under the topic of citizen science and the second one under the entry “Quantum Move”, an online citizen science simulation video game, which is part of the ScienceAtHome project. Additionally, physical project presentations like the TED talk at the TEDxAarhus 2016 and the presentation at the NIWeek 2016 contribute successfully to the outreach of ScienceAtHome to wider audiences. The project has produced a plethora of dissemination outputs such as images, video series, audio material, software (simulation games), blogs, press references, scientific data and articles. ","ScienceAtHome is an online platform for collaborative volunteer research, where people are invited to play scientific games, have fun and contribute to real discoveries on quantum physics, and human thinking. The team behind the project consists of scientists, game developers, designers and visual artists based at Aarhus University of Denmark and creates scientific games, with the aim to revolutionise scientific research and teaching by game-play. The goal of the dissemination is to engage citizens to the project objectives, hence to create a community around the games developed, to maximise the input of results gathered from users’ gameplay.",https://www.openuphub.eu/component/k2/item/607-scienceathome,high,"citizenscience, generalpublic, researcher"
Human Brain Project,Website:Project Website,"The article “Brain Projects Think Big” was published October 13, 2013, the early stages of the Human Brain Project . The goal was to provide a younger audience with an understanding of the Human Brain Project. The project is primarily a systematic cataloguing of everything that is known about the brain, as well as, the development of ingenious experimental and theoretical methods to probe the brain, and put together all learnings into a computer model of the brain.",,https://www.openuphub.eu/component/k2/item/604-brain-projects-think-big,medium,"students, teachers"
Homer Multitext,Website:Project Website,"In terms of dissemination activities that go beyond traditional academic publishing and attending conferences, the project mainly used the website, a blog, and GitHub for disseminating their research online. Next to that the project organised summer seminars as well. The HMT community is also very active on Twitter. The project had various dissemination outputs. Next to the blog the project published a number of scientific publications, images of scanned manuscripts and transcripts, and a complete edition of the Venetus A manuscript, which is openly available as PDF. The disseminated materials include text, photos, a book (the aforementioned PDF), and the HMT software. Media formats include documentation, blog posts, data/transcripts and textual variances, as well as images/scans of manuscripts and source code. The source code and resources on GitHub are being regularly updated.","The Homer Multitext (HMT) is a long-term project seeking to present the Homeric Iliad and Odyssey in a critical framework. The project emphasizes collaborative research, openly licensed data, and innovative uses of technology. All material is openly licensed. HMT invites fellow researchers from all over the world to collaborate in the form of diplomatic editions, images of historical documents, and translations. In this context, the main purpose of dissemination is to reach out to other academic/research communities in the fields (homeric research, digital humanities). The purpose is not only to disseminate the results, but also to stimulate new cooperations, contributions, and ultimately also to share resources among the peers (incl. data, software).",https://www.openuphub.eu/component/k2/item/609-homer-multitext-project,low,researcher
Pelagios,Website:Project Website,Pelagios Commons provides online resources and a community forum for using open data methods to link and explore historical places,,http://commons.pelagios.org/,unkown,unknown
Synthesys III,Collaborative Research:Collaboration Platform,is an EC-funded project creating an integrated European infrastructure for natural history collections.,,http://www.synthesys.info/,unkown,unknown
EU BON,Repositories:Data Repositories,"EU BON proposes an innovative approach in terms of integration of biodiversity information system from on-ground to remote sensing data, for addressing policy and information needs in a timely and customized way.",,http://www.eubon.eu/,unkown,unknown
Open Source Malaria,Citizen-Science:Citizen Science,"The Open Source Malaria project is trying a different approach to curing malaria. Guided by open source principles, everything is open and anyone can contribute.",,http://opensourcemalaria.org/,unkown,unknown
Open Innovation in Science,Citizen-Science:Citizen Science,Project that involved citizens at a very early stage of the research process: formulating relevant research questions.,,http://www.ois.lbg.ac.at/home.html,unkown,unknown
Personal Genome Project,Citizen-Science:Citizen Science,"The Personal Genome Project was founded in 2005 and is dedicated to creating public genome, health, and trait data. Sharing data is critical to scientific progress, but has been hampered by traditional research practices—our approach is to invite willing participants to publicly share their personal data for the greater good.",,http://www.personalgenomes.org/,unkown,unknown
Wildlife of our Homes,Citizen-Science:Citizen Science,examines the diversity of bacterial communities found in nine distinct locations within our homes; involves the community for data gathering.,,http://robdunnlab.com/projects/wild-life-of-our-homes/,unkown,unknown
Bauhinia Genome,Citizen-Science:Citizen Science,"Open genomics education project, improving public literacy and deeper genetics and data research training in Hong Kong through studying the cities floral emblem, the Hong Kong orcid tree Bauhinia blakeana. Through crowdfunding to fund data generation, school and university outreach and sharing of OER resources is providing manpower to assemble and analyse the data. As an open science project it is leading by example through open and transparent sharing of data, and use of reproducible research methodologies such as pre-registration, protocol publishing, and data publication.",,http://bauhiniagenome.hk/,unkown,unknown
Open Notebooks Science,Repositories:Note Repositories,"According to Jean-Claude Bradley (2006), author of this concept and practive it refers to “a way of doing science in which — as best as you can — you make all your research freely available to the public and in real time”. This practice does not only include data, information and positive results of a given piece of scientific research; it also disseminates partial status, weaknesses and challenges at a stage when they have not yet been solved by scientists.",,http://onsnetwork.org/,unkown,unknown
Brain Projects Think Big,Educational Materials:Educational Materials,"The Human Brain Project used traditional dissemination (Markram 2006, Druckmann et al. 2012). Publishing a child friendly version of the Human Brain Project on the Frontiers for Young Minds platform was an innovative approach to reach a different audience. ","The article “Brain Projects Think Big” was published October 13, 2013, the early stages of the Human Brain Project. The goal was to provide a younger audience with an understanding of the Human Brain Project. The project is primarily a systematic cataloguing of everything that is known about the brain, as well as, the development of ingenious experimental and theoretical methods to probe the brain, and put together all learnings into a computer model of the brain. ",https://www.openuphub.eu/component/k2/item/604-brain-projects-think-big,low,unknown
Transcribe Bentham,Collaborative Research:Collaboration Platform,"Dissemination activities conducted within the project are numerous and vary from public information blogs, announcements and articles in the press, invited talks, journal articles to Twitter, Facebook posts, Wikipedia article and YouTube videos. One of most important outputs of the project are the digitised/transcribed Bentham manuscripts that are made publicly available. Furthermore, the transcription tool, and the software behind it plays a special role in the digitisation process.","Transcribe Bentham is an online collaborative initiative to transcribe the manuscripts of Jeremy Bentham from the archives of University College London. Jeremy Bentham (1748 – 1832) was an English philosopher, jurist, and social reformer. He is regarded as the founder of modern utilitarianism. The goal of the project is to collaboratively, with the help of many volunteers, digitise valuable handwritten, yet unpublished, work of Jeremy Bentham. By reading and encoding yet unread Bentham's work, new facts can be discovered about his thoughts. In this way, UCL was able to publish new editions of Bentham's work and make them publicly available through the UCL's digital library. Since 2014 Transcribe Bentham is part of the EU-funded Recognition and Enrichment of Archival Documents (READ) project.",https://www.openuphub.eu/component/k2/item/608-transcribe-bentham,medium,unknown
